songid,performer,song,spotify_genre,spotify_track_id,spotify_track_preview_url,spotify_track_album,spotify_track_explicit,spotify_track_duration_ms,spotify_track_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
"AdictoTainy, Anuel AA & Ozuna","Tainy, Anuel AA & Ozuna",Adicto,['pop reggaeton'],3jbT1Y5MoPwEIpZndDDwVq,,Adicto (with Anuel AA & Ozuna),false,270740,91,0.734,0.836,10,-4.803,false,0.0735,0.017,0.0000164,0.179,0.623,80.002,4
The Ones That Didn't Make It Back HomeJustin Moore,Justin Moore,The Ones That Didn't Make It Back Home,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",,,,,,,,,,,,,,,,,,
ShallowLady Gaga & Bradley Cooper,Lady Gaga & Bradley Cooper,Shallow,"['dance pop', 'pop']",2VxeLyX666F8uXCJ0dZF8B,,A Star Is Born Soundtrack,false,215733,88,0.572,0.385,7,-6.362,true,0.0308,0.371,0,0.231,0.323,95.799,4
EnemiesPost Malone Featuring DaBaby,Post Malone Featuring DaBaby,Enemies,"['dfw rap', 'melodic rap', 'rap']",0Xek5rqai2jcOWCYWJfVCF,,Hollywood's Bleeding,true,196760,86,0.542,0.674,6,-4.169,true,0.21,0.0588,0,0.0955,0.667,76.388,4
"Bacc At It AgainYella Beezy, Gucci Mane & Quavo","Yella Beezy, Gucci Mane & Quavo",Bacc At It Again,"['dfw rap', 'rap', 'southern hip hop', 'trap']",2biNa12dMbHJrHVFRt8JyO,https://p.scdn.co/mp3-preview/fa6fa6f6f363be29ae45af3470675ef5cbcd081f?cid=b8d3901151d34489a160e3cf0ab1fa94,Bacc At It Again,true,228185,61,0.948,0.623,8,-5.725,false,0.168,0.00124,0.00000107,0.0716,0.856,135.979,4
The ArcherTaylor Swift,Taylor Swift,The Archer,"['dance pop', 'pop', 'post-teen pop']",3pHkh7d0lzM2AldUtz2x37,,Lover,false,211240,76,0.292,0.574,0,-9.375,true,0.0401,0.12,0.00569,0.0663,0.166,124.344,4
VIBEZDaBaby,DaBaby,VIBEZ,"['nc hip hop', 'rap']",0fySG6A6qLE8IvDpayb5bM,,KIRK,true,144935,88,0.768,0.652,1,-2.708,false,0.307,0.113,0,0.107,0.777,154.187,4
When I Grow UpNF,NF,When I Grow Up,"['hip hop', 'pop rap', 'rap']",0hWzB4dR1zwcokPvccww0k,,When I Grow Up,false,196800,74,0.817,0.814,2,-3.985,true,0.185,0.32,0,0.152,0.247,109.994,4
Hollywood's BleedingPost Malone,Post Malone,Hollywood's Bleeding,"['dfw rap', 'melodic rap', 'rap']",7sWRlDoTDX8geTR8zzr2vt,,Hollywood's Bleeding,false,156266,85,0.405,0.646,4,-3.206,false,0.0476,0.331,0,0.103,0.17,130.218,4
What Happens In A Small TownBrantley Gilbert + Lindsay Ell,Brantley Gilbert + Lindsay Ell,What Happens In A Small Town,,44UTzjhEM825Sw0qC89oGK,,Fire & Brimstone,false,203560,57,0.498,0.788,11,-5.361,true,0.0402,0.000934,0,0.13,0.457,138.171,4
Famous HoesNLE Choppa,NLE Choppa,Famous Hoes,['memphis hip hop'],35Xf2ABjPzUXKz19akd7Jj,https://p.scdn.co/mp3-preview/00e1999afe6fef5a56246efee24e75db4998ad3f?cid=b8d3901151d34489a160e3cf0ab1fa94,Famous Hoes,true,135460,80,0.732,0.627,4,-5.693,false,0.161,0.346,0,0.261,0.332,81.481,4
Cornelia StreetTaylor Swift,Taylor Swift,Cornelia Street,"['dance pop', 'pop', 'post-teen pop']",12M5uqx0ZuwkpLp5rJim1a,,Lover,false,287266,74,0.824,0.624,0,-9.728,true,0.0827,0.781,0.000189,0.1,0.248,102.012,4
HeatChris Brown Featuring Gunna,Chris Brown Featuring Gunna,Heat,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",1GIYmwtBbPSHrqcSaukZck,https://p.scdn.co/mp3-preview/b0292b0a659b2ec640aa79a9b32f39aba75a8f11?cid=b8d3901151d34489a160e3cf0ab1fa94,Indigo,true,232733,78,0.62,0.613,0,-5.83,true,0.0795,0.0607,0,0.117,0.483,82.43,4
Te RobareNicky Jam X Ozuna,Nicky Jam X Ozuna,Te Robare,,,,,,,,,,,,,,,,,,,
Yellow HeartsAnt Saunders,Ant Saunders,Yellow Hearts,['pop'],2W4yABdLc4Jnds67Poi5Nl,https://p.scdn.co/mp3-preview/50e8f9fbb9aa384e554c261c0a8701d411ceffdb?cid=b8d3901151d34489a160e3cf0ab1fa94,Yellow Hearts,false,223257,89,0.865,0.438,7,-8.943,true,0.0719,0.177,0,0.0743,0.695,129.038,4
Make It RightBTS Featuring Lauv,BTS Featuring Lauv,Make It Right,"['k-pop', 'k-pop boy group']",314ZkcV7oLWG8yWE7LABvH,https://p.scdn.co/mp3-preview/fd5b0ad0cbe5fb2bc20db19b89679699f9312715?cid=b8d3901151d34489a160e3cf0ab1fa94,Make It Right (feat. Lauv),false,226321,84,0.584,0.685,7,-7.811,true,0.425,0.0304,0,0.189,0.345,97.551,4
TimeNF,NF,Time,"['hip hop', 'pop rap', 'rap']",6MxMqCgqmekcr0VwSU7AVH,,The Search,false,240428,79,0.677,0.688,0,-4.058,false,0.0633,0.138,0,0.114,0.198,98.049,4
Cuban LinksRod Wave & Kevin Gates,Rod Wave & Kevin Gates,Cuban Links,['florida rap'],4ovta8hB5ymzzsR5EaCEdx,https://p.scdn.co/mp3-preview/10f3af57a6969eb761e26518877d9a667592008a?cid=b8d3901151d34489a160e3cf0ab1fa94,Ghetto Gospel,true,192182,71,0.693,0.652,5,-8.766,true,0.299,0.25,0,0.0294,0.77,87.986,4
PetaRoddy Ricch Featuring Meek Mill,Roddy Ricch Featuring Meek Mill,Peta,"['melodic rap', 'rap', 'trap']",4bl1HBZliBuYpFZjWgefE4,https://p.scdn.co/mp3-preview/8b156df2bca9dac64e399481c3cd8c17545e79c5?cid=b8d3901151d34489a160e3cf0ab1fa94,Please Excuse Me For Being Antisocial,true,198848,83,0.778,0.573,10,-7.339,false,0.251,0.015,0,0.464,0.269,140.114,4
INTRODaBaby,DaBaby,INTRO,"['nc hip hop', 'rap']",77KMttn3Lic7ZQKDlPqp8v,,KIRK,true,172800,80,0.862,0.685,0,-7.699,false,0.242,0.0342,0,0.204,0.672,100.024,4
Don't Check On MeChris Brown Featuring Justin Bieber & Ink,Chris Brown Featuring Justin Bieber & Ink,Don't Check On Me,"['dance pop', 'pop', 'pop rap', 'r&b', 'rap']",3msKIQc0Yjuz3Zn39g3KLX,https://p.scdn.co/mp3-preview/f65d089cedfbacb7ba345301469ef642438699b9?cid=b8d3901151d34489a160e3cf0ab1fa94,Don't Check On Me (feat. Justin Bieber & Ink),false,204880,72,0.66,0.395,7,-5.242,true,0.0333,0.873,0,0.112,0.678,81.997,4
Dance MonkeyTones And I,Tones And I,Dance Monkey,['australian pop'],2XU0oxnq2qxCpomAAuJY8K,https://p.scdn.co/mp3-preview/535ffea66207a0fc07d57fbaea7b5594be797f9b?cid=b8d3901151d34489a160e3cf0ab1fa94,Dance Monkey (Stripped Back) / Dance Monkey,false,209438,100,0.824,0.588,6,-6.4,false,0.0924,0.692,0.000104,0.149,0.513,98.027,4
HeartlessThe Weeknd,The Weeknd,Heartless,"['canadian contemporary r&b', 'canadian pop', 'pop']",57vxBYXtHMk6H1aD29V7PU,,Heartless,true,200080,93,0.531,0.75,10,-5.831,false,0.111,0.00632,0.000076,0.117,0.198,169.954,4
"Break Up With Your Girlfriend, I'm BoredAriana Grande",Ariana Grande,"Break Up With Your Girlfriend, I'm Bored","['dance pop', 'pop', 'post-teen pop']",4kV4N9D1iKVxx1KLvtTpjS,,thank ,true,190440,85,0.726,0.554,5,-5.29,false,0.0917,0.0421,0,0.106,0.335,169.999,4
"GOSPELDaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris","DaBaby Featuring Chance The Rapper, Gucci Mane & YK Osiris",GOSPEL,"['nc hip hop', 'rap']",0WoAkdHmgPmEXfiBox1flk,,KIRK,true,214893,71,0.676,0.664,8,-4.435,true,0.343,0.0387,0,0.0475,0.838,161.867,4
Miss Americana & The Heartbreak PrinceTaylor Swift,Taylor Swift,Miss Americana & The Heartbreak Prince,"['dance pop', 'pop', 'post-teen pop']",214nt20w5wOxJnY462klLw,,Lover,false,234146,74,0.662,0.747,11,-6.926,false,0.0736,0.028,0.00615,0.138,0.487,150.088,4
Prayed For YouMatt Stell,Matt Stell,Prayed For You,"['arkansas country', 'contemporary country', 'country pop']",4j6GMcVcqZf1r0GDqMtYp6,https://p.scdn.co/mp3-preview/b8c1e07200c9943a5f7edc8777fadede79f9e64b?cid=b8d3901151d34489a160e3cf0ab1fa94,Everywhere But On,false,210373,74,0.6,0.698,9,-5.86,true,0.0355,0.0724,0.00000164,0.113,0.57,140.032,4
GoldenHarry Styles,Harry Styles,Golden,"['dance pop', 'pop', 'post-teen pop']",45S5WTQEGOB1VHr1Q4FuPl,https://p.scdn.co/mp3-preview/b8bbc5ca9cc5fc1a9ddb73fa47107f00c59c422c?cid=b8d3901151d34489a160e3cf0ab1fa94,Fine Line,false,208906,85,0.448,0.838,4,-5.257,false,0.0557,0.21,0.000131,0.131,0.254,139.863,4
Bad Bad BadYoung Thug Featuring Lil Baby,Young Thug Featuring Lil Baby,Bad Bad Bad,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",1GeNui6m825V8jP4uKiIaH,https://p.scdn.co/mp3-preview/909f15e56869916ec4a0b8bc846c6282fab32a44?cid=b8d3901151d34489a160e3cf0ab1fa94,So Much Fun,true,149040,82,0.974,0.596,6,-8.888,true,0.184,0.0976,0,0.151,0.892,111.959,4
Bad Bad BadYoung Thug Featuring Lil Baby,Young Thug Featuring Lil Baby,Bad Bad Bad,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",1GeNui6m825V8jP4uKiIaH,https://p.scdn.co/mp3-preview/909f15e56869916ec4a0b8bc846c6282fab32a44?cid=b8d3901151d34489a160e3cf0ab1fa94,So Much Fun,true,149040,82,0.974,0.596,6,-8.888,true,0.184,0.0976,0,0.151,0.892,111.959,4
Watermelon SugarHarry Styles,Harry Styles,Watermelon Sugar,"['dance pop', 'pop', 'post-teen pop']",1e9oZCCiX42nJl0AcqriVo,https://p.scdn.co/mp3-preview/0c51b5f7ed852504844feebfb4f4b7f099452662?cid=b8d3901151d34489a160e3cf0ab1fa94,Watermelon Sugar,false,174000,91,0.548,0.816,0,-4.209,true,0.0465,0.122,0,0.335,0.557,95.39,4
Drunk Dialing...LODTSummer Walker,Summer Walker,Drunk Dialing...LODT,"['alternative r&b', 'pop', 'pop rap']",,,,,,,,,,,,,,,,,,
Better TogetherLuke Combs,Luke Combs,Better Together,['contemporary country'],1tSGw3h54aHModEHHL1HGK,https://p.scdn.co/mp3-preview/835763e26d1e1d9deabb5121419d718c7e16a6f0?cid=b8d3901151d34489a160e3cf0ab1fa94,What You See Is What You Get,false,219573,75,0.552,0.225,0,-11.501,true,0.0477,0.826,0,0.111,0.67,138.002,4
TakeawayThe Chainsmokers & Illenium Featuring Lennon Stella,The Chainsmokers & Illenium Featuring Lennon Stella,Takeaway,"['edm', 'electropop', 'pop', 'tropical house']",3g0mEQx3NTanacLseoP0Gw,https://p.scdn.co/mp3-preview/0017ff421bc67594b7a00740df16c58e3e2e0664?cid=b8d3901151d34489a160e3cf0ab1fa94,World War Joy,false,209880,84,0.528,0.511,3,-8.144,true,0.0324,0.126,0,0.101,0.351,100.1,4
LivingDierks Bentley,Dierks Bentley,Living,"['contemporary country', 'country', 'country road', 'modern country rock']",54K7AZoGpQklpygKrxZlKN,,The Mountain,false,222146,71,0.517,0.813,1,-6.325,true,0.0558,0.0153,0,0.106,0.444,83.005,4
"SomebodyInternet Money, Lil Tecca & A Boogie Wit da Hoodie","Internet Money, Lil Tecca & A Boogie Wit da Hoodie",Somebody,['trap'],735RSTb2xbtWbDtKD9XDYi,,Somebody,true,174333,83,0.63,0.671,6,-6.659,false,0.256,0.363,0,0.113,0.333,89.921,4
TapNAV Featuring Meek Mill,NAV Featuring Meek Mill,Tap,"['canadian hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'toronto rap', 'trap']",5rU6kDNXZLXIinFezpbWbO,,Bad Habits (Deluxe),true,148278,79,0.901,0.676,2,-7.033,true,0.251,0.0646,0,0.0863,0.452,85.018,4
Hate MeEllie Goulding & Juice WRLD,Ellie Goulding & Juice WRLD,Hate Me,"['dance pop', 'edm', 'metropopolis', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",6kls8cSlUyHW2BUOkDJIZE,,Hate Me (with Juice WRLD),false,186223,89,0.657,0.768,8,-4.628,true,0.0507,0.108,0,0.144,0.759,75.025,4
The ManTaylor Swift,Taylor Swift,The Man,"['dance pop', 'pop', 'post-teen pop']",3RauEVgRgj1IuWdJ9fDs70,,Lover,false,190360,80,0.777,0.658,0,-5.191,true,0.054,0.0767,0,0.0901,0.633,110.048,4
Valentino24kGoldn,24kGoldn,Valentino,['cali rap'],0c7K73roy6RW4ebDkf4yGh,https://p.scdn.co/mp3-preview/3c8610f256b0bde29c023d2fdd95f2c6118b3234?cid=b8d3901151d34489a160e3cf0ab1fa94,VALENTINO,true,179133,85,0.745,0.718,9,-4.853,false,0.183,0.197,0,0.134,0.539,151.097,4
RITMO (Bad Boys For Life)The Black Eyed Peas X J Balvin,The Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),,,,,,,,,,,,,,,,,,,
HeartlessDiplo Presents Thomas Wesley Featuring Morgan Wallen,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,,,,,,,,,,,,,,,,,,,
TrampolineSHAED,SHAED,Trampoline,"['electropop', 'pop']",1iQDltZqI7BXnHrFy4Qo1k,,Trampoline (with ZAYN),false,184280,91,0.619,0.459,7,-5.782,false,0.0334,0.56,0,0.137,0.498,126.803,4
God's CountryBlake Shelton,Blake Shelton,God's Country,"['contemporary country', 'country', 'country road', 'oklahoma country']",1dyxS3YzBbL0t8rEVwVQ1K,https://p.scdn.co/mp3-preview/4090618c91ecefd9120f21a030f562457b0186ac?cid=b8d3901151d34489a160e3cf0ab1fa94,God's Country,false,205106,77,0.538,0.752,10,-5.106,true,0.0396,0.0608,0.00000539,0.118,0.217,139.984,4
Without MeHalsey,Halsey,Without Me,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",5p7ujcrUXASCNwRaWNHR1C,,Without Me,true,201660,89,0.752,0.488,6,-7.05,true,0.0705,0.297,0.00000911,0.0936,0.533,136.041,4
Easier5 Seconds Of Summer,5 Seconds Of Summer,Easier,"['boy band', 'dance pop', 'pop', 'post-teen pop']",4tNXntkAzQ5A2dfYRYGIIQ,,Easier,false,157492,81,0.505,0.428,5,-5.604,true,0.221,0.489,0,0.0977,0.618,175.813,4
Hot ShowerChance The Rapper Featuring MadeinTYO & DaBaby,Chance The Rapper Featuring MadeinTYO & DaBaby,Hot Shower,"['chicago rap', 'conscious hip hop', 'hip hop', 'pop rap', 'rap']",00ko9WaS4jOX1kEk3gvHjf,https://p.scdn.co/mp3-preview/9f63076bc91da7435bdd87c68b465a9c25c382bc?cid=b8d3901151d34489a160e3cf0ab1fa94,The Big Day,true,225923,83,0.897,0.522,2,-7.578,true,0.374,0.0016,0,0.0554,0.623,149.986,4
Que PretendesJ Balvin & Bad Bunny,J Balvin & Bad Bunny,Que Pretendes,"['latin', 'reggaeton']",25ZAibhr3bdlMCLmubZDVt,,OASIS,false,222346,87,0.639,0.791,10,-4.443,false,0.253,0.0275,0,0.362,0.939,92.603,4
FallingHarry Styles,Harry Styles,Falling,"['dance pop', 'pop', 'post-teen pop']",1ZMiCix7XSAbfAJlEZWMCp,https://p.scdn.co/mp3-preview/755e88e49f038885df13efc6689381a2068e972d?cid=b8d3901151d34489a160e3cf0ab1fa94,Fine Line,false,240133,89,0.567,0.267,4,-6.502,true,0.0299,0.839,0.00000146,0.089,0.0592,110.011,4
HIGHEST IN THE ROOMTravis Scott,Travis Scott,HIGHEST IN THE ROOM,['rap'],3eekarcy7kvN4yt5ZFzltW,https://p.scdn.co/mp3-preview/d9b90990dab9d8376d05c5d4a6b7ac3e99c03763?cid=b8d3901151d34489a160e3cf0ab1fa94,HIGHEST IN THE ROOM,true,175720,95,0.598,0.427,7,-8.764,false,0.0317,0.0546,0.00000583,0.21,0.0605,76.469,4
Nice To Meet YaNiall Horan,Niall Horan,Nice To Meet Ya,"['dance pop', 'pop', 'pop rock', 'post-teen pop']",3cphb8kdsjElYR7r5icK3H,,Nice To Meet Ya,false,158805,88,0.591,0.841,4,-4.351,false,0.0304,0.0119,0,0.395,0.392,109.034,4
Just How It IsYoung Thug,Young Thug,Just How It Is,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",5KYhIFNTp4VQUqlsbLWTTu,https://p.scdn.co/mp3-preview/58e2bf7d426457be7a7668551845331e419a9fde?cid=b8d3901151d34489a160e3cf0ab1fa94,So Much Fun,true,207133,66,0.611,0.539,7,-10.617,true,0.411,0.0485,0,0.127,0.627,82.766,4
All I Want For Christmas Is YouMariah Carey,Mariah Carey,All I Want For Christmas Is You,"['dance pop', 'pop', 'r&b', 'urban contemporary']",0bYg9bo50gSsH3LtXe2SQn,https://p.scdn.co/mp3-preview/ab4f06069148ef8510d8681164479601d4617bed?cid=b8d3901151d34489a160e3cf0ab1fa94,Merry Christmas,false,241106,95,0.335,0.625,7,-7.462,true,0.0386,0.164,0,0.0708,0.346,150.277,4
SenoritaShawn Mendes & Camila Cabello,Shawn Mendes & Camila Cabello,Senorita,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",0TK2YIli7K1leLovkQiNik,,Señorita,false,190960,94,0.759,0.54,9,-6.039,false,0.0287,0.037,0,0.0945,0.75,116.947,4
InternetPost Malone,Post Malone,Internet,"['dfw rap', 'melodic rap', 'rap']",0KAzP1Rbp0Vz5pw8i1KDDI,,Hollywood's Bleeding,true,123386,76,0.469,0.489,0,-6.071,true,0.0314,0.841,0,0.103,0.201,74.013,4
